file,private_vb,that_del,contract,vb_present,pro_2,do_pro,pro_dem,emphatic,pro_1,pro_it,vb_be,sub_conj_caus,disc_particle,pro_nom,hedge,amplifr,wh_ques,mod_poss,coord_conj_cls,wh_cls,prep_final,nn_all,prep,jj_attr,vb_past,pro_3,vb_perfect,vb_public,wh_rel_obj,wh_rel_subj,wh_rel_pipe,coord_conj_phrs,nn_nom,adv_time,adv_place,adv,infinitive,mod_pred,vb_suasive,sub_conj_cond,mod_necess,split_aux,conj_advl,passive_short,passive_by,passive_postnom,sub_conj_othr,th_vb,adv_down,jj_pred,mod_all,conj_all,passive_all,wh_all,wh_rel_all,jj_all,pro_all,vb_have,vb_all,vb_progress,that_rel,wh_comm_vb,wh_att_vb,wh_fact_vb,wh_likely_vb,comm_vb_other,att_vb_other,fact_vb_other,likely_vb_other,jj_att_pred,jj_epist_pred,jj_att_other,jj_epist_other,nn_stance_pp,det_nn_stance,nn_stance_other,all_indef_art,all_def_art,nn_stance_new,nn_common,nn_proper,nn_premod,,,,,,,,,,,,,,,,,,,,,th_vb_comm,th_vb_att,th_vb_fact,th_vb_likely,th_jj_att,th_jj_fact,th_jj_likely,th_nn_nonfact,th_nn_att,th_nn_fact,th_nn_likely,to_vb_speech,to_vb_mental,to_vb_desire,to_vb_effort,to_vb_prob,to_jj_certain,to_jj_able,to_jj_affect,to_jj_ease,to_jj_eval,to_nn_stance_all,advl_nonfact,advl_att,advl_fact,advl_likely,,th_vb_stance_all,th_jj_stance_all,th_nn_stance_all,th_stange_all,to_vb_stance_all,to_jj_stance_all,to_stance_all,advl_stance_all,,,,,,,,,,,,,,ipv_act,tpv_act,tpv_mental,tpv_mental,ipv_occur,pv_copular,pv_aspect,nn_human,nn_process,nn_cog,nn_abstact,nn_concrete,nn_technical,nn_quant,nn_place,nn_group,jj_size,jj_time,jj_color,jj_eval,jj_relation,jj_topic,vb_act,vb_comm,vb_mental,vb_cause,vb_occur,vb_exist,vb_aspect,,dim_1,dim_2,dim_3,dim_4,dim_5,file,tt_ratio,word_length,word_count
R3_10_E_3,0,0,0,-43.4,-43.5,0,0,0,-43.5,0,0,0,0,0,0,0,0,-43.5,0,0,0,0,130.4,0,0,43.5,0,0,0,0,0,0,0,0,43.5,-43.5,0,-43.5,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,43.5,-43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,0,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.62,1.93,-10.31,-10.36,0,,0,0.4,0
R3_10_J_3,-29,0,0,-49.7,-31.7,0,0,-14.5,-31.7,0,20,0,0,0,0,0,0,8.3,0,0,0,61.4,25.5,22.8,0,0,0,0,0,0,0,0,2.8,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.7,8.3,0,0,0,0,13.8,-63.4,0,-49.7,20,-17.2,0,0,0,0,0,0,2.8,-34.5,2.8,0,2.8,0,0,0,0,2.8,-9,0,42.1,16.6,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.2,0,0,0,0,0,0,0,0,0,-17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,-49,0,0,2.8,0,0,-10.87,0,-0.12,0,0,,-0.7,0.1,-8
R3_11_A_5,0,0,-71.4,-31.8,-44.9,0,0,-5.3,-5.3,-29.1,0,0,0,0,0,0,0,-10.6,0,0,0,-15.9,2.7,8,-23.8,0,0,0,0,0,0,0,0,-5.3,-5.3,37,0,-5.3,18.5,0,0,37,0,-5.3,0,0,18.5,0,0,18.5,-15.8,18.5,-5.3,0,0,-2.6,-50.3,0,-13.3,18.5,-5.3,0,0,0,0,18.5,0,0,0,0,0,13.2,0,0,0,0,-5.3,-15.8,0,5.2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3,18.5,0,-5.3,-21.1,0,0,0,0,0,-5.3,-5.3,-58.2,18.5,0,0,0,-5.3,0,0,-17.13,-0.79,0.96,19.53,-0.8,,2.8,0.1,12
R3_12_E_2,0,0,34.5,-43.9,-56.4,0,0,0,0,0,0,0,0,0,0,0,0,-56.4,0,0,0,59.6,1.5,0,0,0,0,0,0,0,0,0,0,-45.5,23.5,69,-11,0,0,0,0,34.5,0,0,0,0,0,0,0,0,-56.4,0,0,0,0,12.5,-56.4,0,-54.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,25.1,0,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,0,0,34.5,0,34.5,0,0,0,0,0,0,0,0,-45.5,0,0,0,0,0,0,0,-21.19,0,2.15,13.8,0,,1.7,-0.1,7
R3_12_J_1,0,-26.3,0,-52.7,-26.3,0,0,0,-52.6,0,26.3,0,0,0,0,0,0,0,0,0,0,52.6,0,0,0,0,0,-26.3,0,0,0,0,0,0,0,-26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78.9,-52.6,-26.3,0,0,0,0,0,0,0,0,0,0,26.3,0,26.3,0,0,0,0,26.3,0,0,52.7,-26.3,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.3,0,0,-26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,26.3,0,0,0,0,0,0,0,26.3,0,0,0,-26.3,0,0,0,0,0,0,-10.12,-4.88,1.49,0,0,,0,-0.2,0
R3_13_E_2,-27,0,0,-115.1,-81.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1,131.1,57,0,0,0,0,0,0,0,0,10,0,0,37,-27,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,77.1,-81.1,0,-142.1,0,-27,0,0,0,0,0,0,0,-27,20,0,20,0,0,0,0,10,0,0,43.1,10,10,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,-54.1,0,-81.1,0,0,0,0,0,-22.92,0,-1.41,0,0,,-1.7,0.4,-10
R3_13_J_2,0,0,-58.8,-43.2,-117.6,7.9,0,0,0,0,7.9,0,0,0,0,0,0,-58.8,0,0,0,31.4,0,74.5,0,66.7,0,0,0,0,0,0,0,0,0,-58.8,0,-50.9,0,0,0,0,0,0,0,0,0,0,0,66.7,-109.8,0,0,0,0,141.2,-50.9,0,-43.2,0,0,0,0,0,0,0,0,0,0,0,66.7,133.3,0,0,0,7.9,0,0,0,149.1,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58.8,0,0,0,0,0,0,0,0,0,0,-58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.9,2.97,3.34,-12.14,0,,-0.2,-0.2,-2
R3_14_A_1,0,0,0,-28.8,-5.8,0,13.5,-5.8,-25,0,0,0,0,0,0,0,0,0,0,0,19.2,-55.8,21.2,38.5,0,0,0,0,0,0,0,0,0,0,-5.8,32.7,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7,-30.8,-25,-28.8,-5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,-11.5,0,-7.7,-17.3,32.7,0,0,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,0,0,0,0,0,0,-5.8,0,0,5.52,0,-0.16,7.7,0,,1.5,-0.2,12
R3_15_E_2,-20,0,-40,-46.8,-40,0,0,0,-40,0,0,0,0,0,0,0,0,0,0,0,0,107.8,37.6,73.2,0,0,0,-20,0,0,0,0,46.3,0,0,17.6,-20,-80,0,0,0,-20,0,0,0,0,0,0,0,0,-80,0,0,0,0,77.6,-80,-40,-62.4,0,-20,0,0,0,0,-20,0,-20,0,24.4,0,48.8,0,0,0,0,-20,-20,0,50.7,-11.2,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,4.4,0,0,24.4,0,0,0,0,0,0,0,24.4,0,0,-20,-20,-60,0,0,0,4.4,0,-18.84,-3.71,2.22,-27.05,0,,-1.5,0.2,-9
R3_16_A_1,-2.1,0,-21.7,-54.2,-23.9,0,0,-2.1,-45.6,-2.1,0,0,0,-2.1,0,0,0,-2.1,0,0,0,26.5,-8.6,34.9,0,0,-2.1,0,0,0,0,-2.1,-4.3,0,-2.1,8.9,19.6,-2.1,19.6,0,-21.7,17.5,0,-4.3,0,0,0,0,-2.1,0,-26,-2.1,-4.3,0,0,34.9,-69.5,-43.5,-38.8,0,0,0,0,0,0,19.6,0,-2.1,0,0,0,0,0,0,0,0,-2.1,-2.1,0,-8.6,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.3,0,0,0,0,0,0,0,-2.1,-26,19.6,-2.1,0,0,-4.3,-2.1,0,-12.35,-0.41,-0.96,2.45,-0.64,,1.3,0.5,5
R3_17_A_2,0,0,-37,-39.7,-37,0,0,0,0,-37,0,0,0,-1.3,0,0,0,0,0,0,0,22.5,31.8,-1.3,0,0,0,0,0,0,0,0,0,0,-1.3,0,0,-37,0,0,0,0,0,35.7,0,0,0,0,0,35.7,-37,0,35.7,0,0,-2.7,-37,-37,-4,0,0,0,0,0,0,0,0,0,0,0,35.7,-1.3,-37,0,0,0,-1.3,-41,0,-80.7,70.1,-39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3,0,0,0,0,0,0,0,0,0,0,0,35.7,0,0,0,0,0,0,-13.86,0,0.39,-8.82,5.41,,0,0.1,1
R3_19_E_3,0,-26.3,-52.6,-26.3,-26.3,0,0,0,0,0,0,0,0,0,0,0,0,-26.3,0,0,0,0,26.3,26.3,0,0,0,-26.3,0,0,0,0,0,0,0,-26.3,26.3,0,26.3,26.3,0,0,-26.3,0,0,0,0,0,0,0,-26.3,26.3,0,0,0,26.3,-26.3,26.3,0,0,0,0,0,0,0,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.3,0,0,0,0,0,0,0,0,0,0,0,0,26.3,-26.3,0,0,0,0,0,0,0,0,0,0,0,0,-26.3,0,0,-26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.3,0,26.3,-26.3,0,0,0,0,-21.55,-4.87,1.5,20.45,-16.45,,0.3,-0.1,0
R3_2_A_1,-46.9,-22.7,-1.4,-76.8,-22.7,-22.7,0,0,-68.2,-1.4,0,0,0,21.3,0,0,0,-22.7,0,0,0,25.2,83.7,62.4,21.3,21.3,0,0,0,21.3,0,0,-1.4,0,0,0,21.3,-1.4,-1.4,0,0,0,0,0,0,0,0,0,0,-1.4,-24.2,0,0,0,21.3,38.2,-69.6,-1.4,-76.8,0,0,0,0,0,0,-1.4,-1.4,0,0,0,0,42.6,0,0,0,0,-2.9,-1.4,0,11.1,-5.8,-24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.7,0,0,-22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,21.3,0,0,19.9,0,0,0,21.3,21.3,0,0,0,-1.4,-24.2,0,0,0,0,0,-27.94,1.65,10.54,-0.82,0,,1,0.6,3
R3_20_A_5,-30.3,-30.3,-5.3,-81.8,-35.6,-5.3,0,0,-30.3,-10.6,25,0,0,0,0,0,0,-15.9,0,0,0,12.9,59.1,50,0,0,0,0,0,0,0,0,0,0,0,-5.3,0,0,0,0,0,0,0,0,0,0,25,0,0,50,-15.9,25,0,0,0,89.4,-65.9,0,-81.8,0,0,0,0,0,0,0,0,0,0,25,0,75,0,25,0,-30.3,25,-15.9,0,48.5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.3,0,0,0,0,0,0,0,0,0,-30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.3,0,0,-30.3,-30.3,0,-30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3,0,0,0,19.7,19.7,0,0,0,0,25,0,0,-5.3,0,-90.9,0,0,0,0,0,-27.07,0,0.3,0,0,,1.2,0,7
R3_20_E_3,-50,-25,3.6,-53.6,-21.4,0,0,0,-50,0,0,0,0,0,0,0,0,-25,0,0,0,100,57.1,32.1,0,3.6,3.6,0,0,0,0,0,32.1,0,0,-21.4,-25,0,0,0,0,0,0,0,0,0,0,0,0,-25,-25,0,0,0,0,7.1,-67.9,3.6,-82.1,0,0,0,0,0,0,3.6,0,-25,0,-25,0,32.1,0,0,0,0,7.1,28.6,0,89.3,-25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,0,0,-25,3.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6,0,28.6,0,0,0,0,0,28.6,3.6,0,-25,0,-17.9,0,0,0,0,0,-29.98,0.85,3.45,0,0,,-1,0.2,-5
