PID,PI_S1_R3_20_5_A,PI_S1_R3_I31_7_A,PI_S1_R3_14_1_A,PI_S1_R2_6_1_E,PI_S1_R2_7_2_E,PI_S1_R2_9_2_E,PI_S1_R3_I23_3_J,PI_S1_R3_I23_3_E,PI_S1_R2_10_1_E,PI_S1_R3_I24_3_E,PI_S1_R3_I26_2_A,PI_S1_R2_13_1_J,PI_S1_R3_3_3_A,PI_S1_R3_I41_2_E,PI_S1_R3_4_2_E,PI_S1_R2_14_1_J,PI_S1_R3_15_2_E,PI_S1_R3_3_2_A,manipulation_check_1,PII_S2_R3_I40_3_E,PII_S2_R3_4_1_A,PII_S2_R3_5_4_E,PII_S2_R3_20_3_E,PII_S2_R3_I33_1_A,PII_S2_R3_17_2_A,PII_S2_R3_22_3_E,PII_S2_R2_8_2_E,PII_S2_R2_21_3_J,PII_S2_R3_13_2_E,PII_S2_R3_I30_2_A,PII_S2_R3_10_3_J,PII_S2_R3_5_7_E,PII_S2_R3_13_2_J,PII_S2_R3_6_2_A,PII_S2_R3_I40_1_A,PII_S2_R3_2_1_A,PII_S2_R3_I23_2_J,manipulation_check_2,PIII_S3_R2_20_1_J,PIII_S3_R3_12_2_E,PIII_S3_R3_I35_2_E,PIII_S3_R3_I32_3_A,PIII_S3_R3_24_3_A,PIII_S3_R2_6_2_E,PIII_S3_R3_I26_1_A,PIII_S3_R3_11_5_A,PIII_S3_R3_I38_4_E,PIII_S3_R3_5_6_E,PIII_S3_R3_19_3_E,PIII_S3_R3_10_3_E,PIII_S3_R3_16_1_A,PIII_S3_R3_6_1_J,PIII_S3_R3_I36_6_A,PIII_S3_R3_5_1_J,PIII_S3_R3_6_2_E,PIII_S3_R3_12_1_J,manipulation_check_3,PII_S3_R2_20_1_J,PII_S3_R3_12_2_E,PII_S3_R3_I35_2_E,PII_S3_R3_I32_3_A,PII_S3_R3_24_3_A,PII_S3_R2_6_2_E,PII_S3_R3_I26_1_A,PII_S3_R3_11_5_A,PII_S3_R3_I38_4_E,PII_S3_R3_5_6_E,PII_S3_R3_19_3_E,PII_S3_R3_10_3_E,PII_S3_R3_16_1_A,PII_S3_R3_6_1_J,PII_S3_R3_I36_6_A,PII_S3_R3_5_1_J,PII_S3_R3_6_2_E,PII_S3_R3_12_1_J,manipulation_check_3,PIII_S2_R3_I40_3_E,PIII_S2_R3_4_1_A,PIII_S2_R3_5_4_E,PIII_S2_R3_20_3_E,PIII_S2_R3_I33_1_A,PIII_S2_R3_17_2_A,PIII_S2_R3_22_3_E,PIII_S2_R2_8_2_E,PIII_S2_R2_21_3_J,PIII_S2_R3_13_2_E,PIII_S2_R3_I30_2_A,PIII_S2_R3_10_3_J,PIII_S2_R3_5_7_E,PIII_S2_R3_13_2_J,PIII_S2_R3_6_2_A,PIII_S2_R3_I40_1_A,PIII_S2_R3_2_1_A,PIII_S2_R3_I23_2_J,manipulation_check_2,PI_S2_R3_I40_3_E,PI_S2_R3_4_1_A,PI_S2_R3_5_4_E,PI_S2_R3_20_3_E,PI_S2_R3_I33_1_A,PI_S2_R3_17_2_A,PI_S2_R3_22_3_E,PI_S2_R2_8_2_E,PI_S2_R2_21_3_J,PI_S2_R3_13_2_E,PI_S2_R3_I30_2_A,PI_S2_R3_10_3_J,PI_S2_R3_5_7_E,PI_S2_R3_13_2_J,PI_S2_R3_6_2_A,PI_S2_R3_I40_1_A,PI_S2_R3_2_1_A,PI_S2_R3_I23_2_J,manipulation_check_2,PII_S1_R3_20_5_A,PII_S1_R3_I31_7_A,PII_S1_R3_14_1_A,PII_S1_R2_6_1_E,PII_S1_R2_7_2_E,PII_S1_R2_9_2_E,PII_S1_R3_I23_3_J,PII_S1_R3_I23_3_E,PII_S1_R2_10_1_E,PII_S1_R3_I24_3_E,PII_S1_R3_I26_2_A,PII_S1_R2_13_1_J,PII_S1_R3_3_3_A,PII_S1_R3_I41_2_E,PII_S1_R3_4_2_E,PII_S1_R2_14_1_J,PII_S1_R3_15_2_E,PII_S1_R3_3_2_A,manipulation_check_1,PIII_S1_R3_20_5_A,PIII_S1_R3_I31_7_A,PIII_S1_R3_14_1_A,PIII_S1_R2_6_1_E,PIII_S1_R2_7_2_E,PIII_S1_R2_9_2_E,PIII_S1_R3_I23_3_J,PIII_S1_R3_I23_3_E,PIII_S1_R2_10_1_E,PIII_S1_R3_I24_3_E,PIII_S1_R3_I26_2_A,PIII_S1_R2_13_1_J,PIII_S1_R3_3_3_A,PIII_S1_R3_I41_2_E,PIII_S1_R3_4_2_E,PIII_S1_R2_14_1_J,PIII_S1_R3_15_2_E,PIII_S1_R3_3_2_A,manipulation_check_1,PI_S3_R2_20_1_J,PI_S3_R3_12_2_E,PI_S3_R3_I35_2_E,PI_S3_R3_I32_3_A,PI_S3_R3_24_3_A,PI_S3_R2_6_2_E,PI_S3_R3_I26_1_A,PI_S3_R3_11_5_A,PI_S3_R3_I38_4_E,PI_S3_R3_5_6_E,PI_S3_R3_19_3_E,PI_S3_R3_10_3_E,PI_S3_R3_16_1_A,PI_S3_R3_6_1_J,PI_S3_R3_I36_6_A,PI_S3_R3_5_1_J,PI_S3_R3_6_2_E,PI_S3_R3_12_1_J,manipulation_check_3,education,field,field_6_TEXT,gender,gender_5_TEXT,birth_year,location,info_search,info_search_service,chatbots,social_orientation_1,social_orientation_2
11,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,,I don't know,,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,,,TRANSLATED,I don't know,Bachelor's degree in college (4-year),STEM,,Female,,1990,Plainsboro/NJ,Yes,,,Disagree,Disagree
12,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,,,,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,I don't know,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,,TRANSLATED,,,,,TRANSLATED,TRANSLATED,,I don't know,Bachelor's degree in college (4-year),Other:,,Male,,1964,ft.lauderdale florida most connected to new york city,Yes,Three,Two,Somewhat agree,Somewhat agree
13,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,,TRANSLATED,,,,,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,TRANSLATED,I don't know,TRANSLATED,,,,ORIGINAL,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,,TRANSLATED,,,,ORIGINAL,,TRANSLATED,I don't know,High school graduate (high school diploma or equivalent including GED),Arts and Humanities,,Male,,2000,"Houston, TX",Yes,I have never used assistance services when traveling,Five or above,Agree,Somewhat agree
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,,,,NONE,,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,,,,,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,TRANSLATED,,,TRANSLATED,,,,TRANSLATED,,TRANSLATED,TRANSLATED,NONE,,ORIGINAL,,I don't know,High school graduate (high school diploma or equivalent including GED),Health and Biological Sciences,,Female,,1997,new york,Maybe,I don't travel,Five or above,Strongly disagree,Somewhat disagree
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,TRANSLATED,,TRANSLATED,,ORIGINAL,ORIGINAL,,,TRANSLATED,TRANSLATED,,,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,TRANSLATED,,,,,,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,TRANSLATED,ORIGINAL,,,,,,TRANSLATED,,,ORIGINAL,ORIGINAL,TRANSLATED,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,Some college but no degree,STEM,,Female,,1997,usa,Yes,I have never used assistance services when traveling,Five or above,Disagree,Disagree
16,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,,,ORIGINAL,,NONE,,ORIGINAL,,TRANSLATED,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,TRANSLATED,,,ORIGINAL,ORIGINAL,,,TRANSLATED,,TRANSLATED,TRANSLATED,TRANSLATED,,,I don't know,ORIGINAL,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,TRANSLATED,NONE,,ORIGINAL,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),STEM,,Female,,1992,Philadelphia,Yes,I have never used assistance services when traveling,One,Strongly disagree,Strongly disagree
17,,,ORIGINAL,ORIGINAL,,,,TRANSLATED,,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,TRANSLATED,,TRANSLATED,TRANSLATED,TRANSLATED,,ORIGINAL,,,ORIGINAL,TRANSLATED,,I don't know,TRANSLATED,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Social & Behavioral Sciences,,Male,,1978,"nyc,ny",Yes,I have never used assistance services when traveling,Five or above,Strongly Agree,Strongly Agree
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,,ORIGINAL,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,,,,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,,,ORIGINAL,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,I don't know,Master's degree,Other:,Education ,Male,,1984,Sacramento,Yes,I have never used assistance services when traveling,One,Neither agree nor disagree,Neither agree nor disagree
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,,,TRANSLATED,TRANSLATED,,,ORIGINAL,TRANSLATED,,ORIGINAL,,,,TRANSLATED,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,,,,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Arts and Humanities,,Female,,1990,Madison/MS,Yes,I have never used assistance services when traveling,Five or above,Somewhat agree,Somewhat agree
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,,,,ORIGINAL,,TRANSLATED,ORIGINAL,TRANSLATED,TRANSLATED,,,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,ORIGINAL,ORIGINAL,ORIGINAL,,,,,ORIGINAL,,TRANSLATED,TRANSLATED,,ORIGINAL,TRANSLATED,I don't know,ORIGINAL,,,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,,,,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Arts and Humanities,,Male,,2000,Edinburg/Texas,Yes,Two,One,Disagree,Somewhat agree
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,,TRANSLATED,,ORIGINAL,,TRANSLATED,,ORIGINAL,,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,ORIGINAL,,,TRANSLATED,,,,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,I don't know,,ORIGINAL,ORIGINAL,,TRANSLATED,,,TRANSLATED,,,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),"Law, Economics, and Management",,Female,,1979,"South Bend, IN",Yes,I have never used assistance services when traveling,Five or above,Agree,Agree
22,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,,ORIGINAL,,,TRANSLATED,,,ORIGINAL,TRANSLATED,I don't know,ORIGINAL,,,,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,I don't know,,ORIGINAL,,ORIGINAL,,,TRANSLATED,,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master's degree,STEM,,Female,,1990,Louisville/Kentucky,Yes,,Five or above,Disagree,Disagree
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,,ORIGINAL,ORIGINAL,,ORIGINAL,,,,TRANSLATED,,ORIGINAL,ORIGINAL,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,TRANSLATED,,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,,,ORIGINAL,,,TRANSLATED,ORIGINAL,,TRANSLATED,TRANSLATED,ORIGINAL,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,Associate degree in college (2-year),STEM,,Male,,1999,"Tampa, Florida",Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Somewhat disagree,Disagree
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,,,,ORIGINAL,,TRANSLATED,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,,ORIGINAL,,,TRANSLATED,,TRANSLATED,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),"Law, Economics, and Management",,Male,,1992,"New Orleans, Louisiana",Yes,I have never used assistance services when traveling,Five or above,Disagree,Disagree
25,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,,ORIGINAL,TRANSLATED,ORIGINAL,TRANSLATED,,TRANSLATED,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,,,,ORIGINAL,,ORIGINAL,TRANSLATED,,TRANSLATED,,I don't know,TRANSLATED,TRANSLATED,ORIGINAL,,TRANSLATED,,,ORIGINAL,,,,TRANSLATED,,ORIGINAL,,,ORIGINAL,ORIGINAL,I don't know,Associate degree in college (2-year),"Law, Economics, and Management",,Male,,2000,New York,Yes,I have never used assistance services when traveling,Five or above,Somewhat agree,Somewhat agree
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,,TRANSLATED,,ORIGINAL,,,,TRANSLATED,,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,TRANSLATED,,,TRANSLATED,,ORIGINAL,TRANSLATED,,,,TRANSLATED,TRANSLATED,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,TRANSLATED,,ORIGINAL,,,ORIGINAL,,TRANSLATED,,I don't know,Bachelor's degree in college (4-year),Social & Behavioral Sciences,,Female,,1997,Long Beach California ,Yes,Two,Five or above,Somewhat agree,Neither agree nor disagree
27,,,ORIGINAL,,,,ORIGINAL,TRANSLATED,,,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,TRANSLATED,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,TRANSLATED,,,,I don't know,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,,,,ORIGINAL,,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master's degree,Social & Behavioral Sciences,,Female,,1991,Philadelphia,Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Somewhat agree,Somewhat agree
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,TRANSLATED,,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,,ORIGINAL,TRANSLATED,,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,,TRANSLATED,,,ORIGINAL,,ORIGINAL,,I don't know,Some college but no degree,Other:,Retail,Non-binary,,1983,Cotopaxi Colorado,Yes,I have never used assistance services when traveling,Two,Somewhat disagree,Somewhat disagree
29,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,ORIGINAL,TRANSLATED,TRANSLATED,,ORIGINAL,TRANSLATED,,,,,ORIGINAL,,TRANSLATED,TRANSLATED,I don't know,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,TRANSLATED,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Arts and Humanities,,Female,,1991,"New York City, NY",Yes,,Five or above,Neither agree nor disagree,Somewhat disagree
30,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,,TRANSLATED,,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,,I don't know,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,,TRANSLATED,,,TRANSLATED,,,ORIGINAL,,I don't know,Bachelor's degree in college (4-year),STEM,,Male,,1990,"Keizer, Oregon",Yes,Two,Two,Strongly disagree,Disagree
31,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,,TRANSLATED,,ORIGINAL,,,,,ORIGINAL,TRANSLATED,TRANSLATED,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,ORIGINAL,TRANSLATED,,,ORIGINAL,,TRANSLATED,,,ORIGINAL,,,ORIGINAL,,TRANSLATED,ORIGINAL,I don't know,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,,,TRANSLATED,,,,TRANSLATED,,ORIGINAL,,,ORIGINAL,TRANSLATED,I don't know,Associate degree in college (2-year),Arts and Humanities,,Female,,2000,"Camarillo, CA",Yes,I have never used assistance services when traveling,Five or above,Strongly Agree,Agree
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,TRANSLATED,TRANSLATED,NONE,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,,,,NONE,,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,TRANSLATED,,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,,TRANSLATED,ORIGINAL,,,NONE,TRANSLATED,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Arts and Humanities,,Female,,1987,"Boston, MA",Yes,I have never used assistance services when traveling,One,Somewhat agree,Somewhat agree
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,,TRANSLATED,,ORIGINAL,,,,TRANSLATED,,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,ORIGINAL,TRANSLATED,,ORIGINAL,,,,TRANSLATED,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,,ORIGINAL,TRANSLATED,,,I don't know,Some college but no degree,Arts and Humanities,,Female,,1993,"Pennsburg, Pennsylvania",Yes,I have never used assistance services when traveling,Two,Somewhat agree,Agree
34,,,ORIGINAL,,,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,,ORIGINAL,TRANSLATED,TRANSLATED,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,,,ORIGINAL,,TRANSLATED,,I don't know,TRANSLATED,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,ORIGINAL,,TRANSLATED,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),Other:,N/A,Male,,1986,"Las Vegas, NV",Yes,I don't travel,Five or above,Strongly Agree,Strongly Agree
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,,TRANSLATED,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,,,,,,ORIGINAL,,,TRANSLATED,TRANSLATED,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,I don't know,Bachelor's degree in college (4-year),Arts and Humanities,,Female,,1995,"Orlando, FL",Yes,One,Five or above,Neither agree nor disagree,Neither agree nor disagree
