Filename, Line, Original, Translated, Modification score
R2\guide_10_conversation_E.txt,1,Hello. If you want a Southwest-style breakfast (on the spicy side) go to Martanne's (112 Historic Rte 66). For frou-frou breakfast with lots of options Toasted Owl is good (12 S Mikes Pike St). And tradition breakfast with big portions go to Mike & Ronda's The Place (21 S. Milton).,hello. if you want a southwest-style breakfast (on the spicy side) i guess you should visit martanne's (112 historic rte 66). i think ToastedOwl is good to have a frou-frou breakfast with many options (12 s mikes pike st). and tradition breakfast with big portions i'd prefer visiting mike & ronda's the place (21 s. milton).,98
R3\guide_3_conversation_A.txt,3,Yes it is but if you are concerned about the car they do have a Wild Ride Bus Tour option scheduled a couple times a day. What's really nice about the bus tour is that they will talk to you about the animals that you see in the park.,yes it is. if that concerns you you should ride the bus that are scheduled a couple times a day. what i like when you take the bus is that you will hear about the animals that you see .,98
R3\guide_16_conversation_A.txt,1,Hello. With only one hour I would recommend visiting downtown Flagstaff. You can easily spend an hour wandering around. The majority of the downtown has kept its original historic buildings and there are also dozens of beautiful murals by local artists to see and most everything downtown is locally owned and operated.,hello. with only one hour i'd visit downtown. you can spend an hour wandering around. the majority of the downtown has kept its historic buildings and we also have murals by local artists you should see. most everything we have in downtown is locally owned and operated.,92
R3\guide_5_conversation_E.txt,7,To do both I would recommend Historic Brewing on San Francisco or Dark Sky Brewing on Beaver St. For a large menu selection with beer Lumberyard is another good choice. Check out the Ale Trail map in the visitor's center.,to do both i'd suggest historic brewing on san francisco or dark sky brewing on beaver st. to find a menu with beer i believe lumberyard is another choice. i'd suggest you visit the visitor center and grab the ale trail map.,92
R3\guide_5_conversation_E.txt,6,Humphreys will be the most challenging with a rewarding view followed by Mt. Elden. Specific elevation gain mileage etc. is within the visitor's center. Make sure to check weather prior as we frequently have thunderstorms and lightening this time of year.,i think humphreys will be the most challenging with a rewarding view mt. elden comes next. the visitor center offers you details on elevation mileage etc. make sure you check weather prior as we frequently have thunderstorms and lightening this season.,92
R3\guide_I30_conversation_A.txt,2,There is a used bookstore downtown just half a block from the Visitor Center. It is called Starrlight Books and it is just north on Leroux Street. There is also a local independent bookstore called Brightside Bookshop on N San Francisco St.,we have a bookstore that seels used books downtown just half a block from the visitor center. the name is starrlight books it's just north on leroux street. you can visit brightside bookshop a local bookstore on n san francisco st.,92
R2\guide_21_conversation_J.txt,3,There are some great National Monuments that are toddler Friendly called Sunset Crater and Wupatki  Sunset Crater is an extinct volcano and Wuptaki is ancient ruins with a blow hole that is very popular with Children. Pioneer Museum is another good attraction for toddlers as they have a room called playthings of the past and a historic Train caboose. Is there a type.,we have some national monuments that are toddler friendly: sunset crater is a volcano that is extinct and wuptaki is ruins with a blow hole that's very popular with children. pioneer museum is another attraction that toddlers enjoy as there's a room called playthings of the past and a train caboose. is there a type.,90
R3\guide_6_conversation_A.txt,2,Parking downtown is $1/hour for any city-run parking. There is also a company called American Valet that runs a number of the parking lots downtown but they charge $2-3/hour. The Flagstaff Visitor Center has free 30 minute parking available 8-5pm and it is free to park in that lot after hours.,parking downtown is $1/hour for any city-run parking. you can try the american valet a company that runs the parking lots downtown but you'll pay $2-3/hour. our visitor center has free 30 minute parking available 8-5pm. you are free to park there after those hours.,90
R3\guide_I36_conversation_A.txt,6,I would recommend giving them a call to see. It depends on if they have someone available. I just did a tour of Mother Road's new brewery facilities last week and it was fascinating because they have grown significantly since they moved their brewing to the second location on Butler Ave.,i'd suggest you call them to see. it depends on whether they have someone available. i just did a tour of mother road's new brewery. it facinates me they have grown since they moved the brewing to the second location on butler ave.,90
R2\guide_8_conversation_E.txt,2,Many of the tent-only campgrounds just opened today in the Coconino National Forest (closest).  Not all of them are opened just yet. Give Coconino National Forest a call at (928) 527-3600 to ask which campgrounds and if pets are allowed. Private campgrounds in the Flagstaff area will have a mix of RV and tent sites. Hope that helps.,alright i know that many tent-only campgrounds just opened today in the coconino national forest (the closest one). not all of them are opened just yet. i guess i'd call coconino national forest (928) 527-3600 and ask which campgrounds are open and whether pets are allowed. private campgrounds in flagstaff will have a mix of rv and tent sites. i hope that helps you.,86
R3\guide_11_conversation_A.txt,5,Okay perfect! In that case I would definitely recommend going to the Grand Canyon. It is included in your national park pass and you can easily spend a full day there. Once you park you can take the free shuttle buses around the canyon and are able to access most of the park that way.,okay perfect!  i'd visit the grand canyon. it's included in your national park pass. you can spend a full day there. once you park you can take the shuttle around the canyon. it's free and you'd visit most of the park that way.,86
R3\guide_I26_conversation_A.txt,1,Hello. Yes the Flagstaff Visitor Center has two city maps. There is the Discovery Map which is more geared toward visitors and highlights the important attractions and there is also a map produced by the Chamber of Commerce that has all the streets on it that is more for relocation.,hello. yes our visitor center has two maps you can pick up. the discovery map is more geared toward visitors and it highlights the attractions. you can check out the map produced by the chamber of commerce that shows you all the streets which is more for relocation.,85
R2\guide_6_conversation_E.txt,2,There are not any areas that are open to the general public but the Pioneer Museum has a map of the tunnels. You could ask individual business owners if you could see them.,unfortunately i believe we don't have any areas that are open to the public but the pioneer museum has a map that delimits the tunnels. you could ask property owners to see them.,81
R3\guide_I23_conversation_J.txt,3,Arizona Shuttle is $32 each way plus park entry for Grand Canyon and $45 each way for Sedona. Sedona Inspire is $60 each way. Not sure what the pricing is for National Park Express,arizona shuttle is $32 each way for grand canyon you must also pay the park entry and sedona is $45 each way. sedona inspire is $60 each way. i'm not sure how much you'd pay for the national park express,81
R2\guide_9_conversation_E.txt,2,Red Curry Kitchen is a good vegan restaurant 10 N San Francisco St as well as Whyld Ass Restaurant 121 E. Birch Ave (just east of San Francisco). A lot of restaurants offer vegetarian options including the locally-made Tepa vegetarian burgers.,well redcurry kitchen is vegan 10 n san francisco st so does whyld ass 121 e. birch ave (which is just east of san francisco). many restaurants would offer you vegetarian options these include the locally-made tepa vegetarian burger.,80
R3\guide_17_conversation_A.txt,2,There are a few thrift shops in Flagstaff but the closest one to the Visitor Center is right across the train tracks on Beaver St called The Garden Thrift.,we have a few thrift shops the closest one to the visitor center is the garden thrift you'll locate it right across the train tracks on beaver st.,80
R3\guide_I33_conversation_A.txt,1,Hello. The Grand Canyon has beautiful views everywhere in the park. Some of my favorite viewpoints are at the Desertview Watchtower on the East side of the canyon and Mohave Point. There are shuttle buses that can take you to most of the viewpoints or you are able to hike along the rim as well.,hello. the grand canyon has views you'd enjoy everywhere . the viewpoints i prefer are the desertview watchtower on the east side of the canyon and mohave point. there are shuttle buses that include most viewpoints or you might hike along the rim as well.,79
R3\guide_20_conversation_E.txt,3,I've heard good things about the Pink Jeep tours but they do not have a specific Vortex package. Red Rock Western Jeep Tours is another option. You need to book a day or so in advance.,well i've heard pink jeep tours is good but i believe they do not have a specific vortex package. red rock western jeep tours is an alternative you may want to check. you need to book a day or so beforehand.,76
R3\guide_I32_conversation_A.txt,3,Ahh that will be difficult. Upper Antelope Canyon has a number of ladders as part of the trail. You can look into Lower Antelope Canyon as an alternative. It isn't as narrow as the Upper canyon and has fewer restrictions on visitation.,oh that will be hard. upper antelope canyon trail has ladders you need to climb. you can look into lower antelope canyon. it isn't as narrow as the upper canyon and it has fewer restrictions .,76
R3\guide_12_conversation_E.txt,2,Lowell is $15 but you can also return at night to do stargazing with telescopes for same one day admission. There are $2 off coupons inside the visitor's center behind the desk.,lowell is $15. you can return later to do stargazing with telescopes for same admission. the visitor center has $2 off coupons you can get .,74
R3\guide_14_conversation_A.txt,1,Hello. What kind of adventure sports are you interested in? There is the Flagstaff Extreme Adventure Course just south of town at Fort Tuthill. There are two different courses available one that is purely ziplining and another that envolves a lot of climbing and obstacles through the trees as well as some ziplines.,hello. what adventures attract you? we have the flagstaff extreme adventure just south of town at fort tuthill. there are two courses available one is ziplining and another that envolves climbing and obstacles through the trees as well as some ziplines.,74
R3\guide_5_conversation_E.txt,4,There are 50 miles of trails within Flagstaff - get a Flagstaff Urban Trails Map within the visitor's center. There are also good mountain biking trails near Ft. Tuthill County Park and on some of the Forest Service trails.,we have 50 miles of trails within flagstaff - visit the visitor center you can get an urban trails map. we also have mountain biking trails near ft. tuthill county park and on the forest service trails.,74
R3\guide_I35_conversation_E.txt,2,I went with a relative who is very afraid of heights (won't fly) and he did okay. There are some sections where the Canyon juts out further that might not be for you but there are many viewing points with good railing (like Mather Point) that would make it well your while and you will feel safe enough.,i went with a relative and he is very afraid of heights (won't fly) he did okay. we have some sections where the canyon juts out further that you might not like but we have many points that have railing and you'd see the canyon (like mather point) that would make it well your while and you will feel safe enough.,74
R2\guide_20_conversation_J.txt,1,Yeah It is still worth a visit typically it doesn't rain all day it will just be on and off When the clouds are in the sky after a thunderstorm they make the best sunsets if you are able to stay at the Grand Canyon until Sunset.,certainly i would still visit typically it doesn't rain all day it will just be on and off and the clouds after a thunderstorm make the best sunsets in my opinion if you're able to stay there until sunset.,73
R3\guide_I31_conversation_A.txt,7,The main ruin does require a bit of walking but if walking is an issue there are also lookout points where you can sit on a bench and see the ruins. The trail makes a loop around the main ruin and it is paved and an easy grade.,the main ruin does require walking. being you not able to walk we also have lookout points where you can sit on a bench and see the ruins. the trail makes a loop around the main ruin it's paved and i would rate the hike as easy.,73
R3\guide_20_conversation_A.txt,5,This time of year you can do these hikes in the middle of the day and it's still lovely. It can get pretty cold in the mornings but that can be nice for a good midday view of the surrounding area.,this season you can do these hikes in the middle of the day. it's cool. it can get pretty cold in the mornings but i believe you might like to enjoy a midday view .,72
R3\guide_I40_conversation_E.txt,3,There are some very pretty red rocks there and has different scenery than Flagstaff. If you like hiking there are some good ones there but also just nice to go to some viewpoints. The shopping area can be a bit too much in my opinion.,well we have some very pretty red rocks there and it has a different view than flagstaff. do you like hiking? we have some ones i would suggest there i think it's also just nice to visit some viewpoints though. the shopping area can be too much in my opinion.,72
R3\guide_12_conversation_J.txt,1,Flagstaff Extreme Adventure Course would be a good option or there are some rock climbing area such as the Pit and Priest Draw or many mountain biking trail such as Shultz creek or the upper and lower Oldham trails.,i would suggest you visit flagstaff extreme adventure or we have some climbing area such as the pit and priest draw. we also have many mountain biking trail such as shultz creek or the upper and lower oldham trails.,71
R3\guide_I23_conversation_J.txt,2,There are shuttles between the locations. Arizona Shuttle goes to Grand Canyon and Sedona and there is a shuttle called National Park Express that goes to Page where you can get a tour of Antelope Canyon or there are guided tours from Flagstaff by Grand Canyon Adventures. Also For Sedona there is Inspire Shuttle,we do have shuttles between these locations. arizona shuttle goes to grand canyon and sedona and we have the national park express that goes to page where you can get a tour of antelope canyon or we have guided tours from flagstaff by grand canyon adventures. i heard that inspire shuttle also does sedona,70
R3\guide_6_conversation_J.txt,1,There are not any Zoos but Bearizona is a drive through north american wildlife park that is 30 miles west of here in Williams and Out of Africa is a African wildlife park about one hour south in Camp Verde.,we don't have any zoos but you should try bearizona a drive through wildlife park that's 30 miles west in williams and out of africa is a wildlife park one hour south in camp verde.,69
R3\guide_10_conversation_E.txt,3,They are typically about $60 for Upper Antelope. Inside the Visitor's Center they have a full listing of the Antelope Canyon tours behind the desk.,upper antelope will typically cost $60. inside the visitor center we have a listing of the antelopecanyon tours you may want to pick up .,68
R3\guide_I24_conversation_E.txt,3,The Lowell Observatory has good exhibits for all ages. You can go to exhibits during the day and come back at night for the same price. On weekends they also have music family movies  and children activities at Heritage Square starting at 4:30,the lowell observatory has exhibits all ages enjoy. you can visit the exhibits during the day and come back later for the same price. on weekends we also have music family movies and activities that would entertain your children at heritage square starting at 4:30,68
R3\guide_I26_conversation_A.txt,2,There are definitely some good ones! Downtown has managed to preserve more of the original route 66 buildings than further out in town. If you stop by the Visitor Center there is a Route 66 walking tour brochure that you can pick up to see and read about them.,we do have some ones i would suggest! downtown has managed to preserve more of the route 66 buildings than further out in town. i would suggest you visit the visitor center we have a walking tour brochure that you can pick up to see and read about them.,68
R2\guide_13_conversation_J.txt,1,If you only have one hour in Flagstaff I would explore the historic downtown area. there are many shops local restaurants and art galleries in the area and this will give you a good feel for the community.,well having you only one hour in flagstaff i'd explore downtown. we have many shops restaurants and art galleries and this will give you a feel for the community.,67
R3\guide_10_conversation_J.txt,3,One day could be hiking the San Francisco peaks. Humphreys is the highest point in Arizona and you can hike to the top or for a more mellow trail. The Sunset Trail is nice too. Another day could be seeing our monuments Sunset Crater and Wuptaki are really neat to see.,okay one day you could hike the san francisco peaks. humphreys is the highest point in arizona and you can hike to the top or choose a trail that is more mellow. i believe the sunset trail is really nice too. another day you could see our monuments i think sunset crater and wuptaki are really neat to see.,67
R3\guide_22_conversation_E.txt,3,Most close at 5pm but Lowell Observatory is open until 10 pm. Sunset Crater and Wupatki can also be driven through after 5 pm although their visitor centers are closed.,okay i believe most close at 5pm. lowell observatory is open late until 10 pm. you can drive through sunset crater and wupatki after 5 pm although their visitor centers are closed.,67
R3\guide_13_conversation_E.txt,2,Mama Burger is good for a more classic burger place with fries and milkshakes. Mix in Heritage Square is good for making own salads for the healthier route.,i think mama burger is good when you want a burger place that is classic with fries and milkshakes. mix in heritage square is good to make your own salad when you want to take the healthier route.,66
R3\guide_5_conversation_J.txt,1,You can park along Route 66 for 2 hours or park outside of downtown and walk into  downtown either west of Sitgreves Street or North of Cherry,you can park along route 66 for 2 hours or you park either west of sitgreves street or north of cherry and walk into downtown,66
R3\guide_I38_conversation_E.txt,4,You could but it's not entirely necessary. Lower Canyon is $10 cheaper but there are more stairs involved which might be tough for the 4 year old. The back of the jeep tour to upper antelope might be fun for both of them.,you could but i don't think it's entirely necessary. lower canyon is $10 cheaper but it has more stairs involved which the 4 year old might find tough. i guess the jeep tour to upper antelope might be fun for both.,66
R3\guide_I40_conversation_A.txt,1,Hello. Flagstaff is a university town so we have what I would describe as a semi-active nightlife scene. There aren't any dancing clubs but there are a number of breweries and local bars with music trivia nights and so on.,hello. flagstaff is a university town so we have a nightlife that i'd describe as semi-active. we don't have any dancing clubs. what we have are the breweries and bars with music trivia nights and so on.,66
R3\guide_13_conversation_J.txt,2,They do some great historic tours and talks but telescope viewing would not be possible.,there will be some historic tours and talks you could attend but unfortunately you wouldn't do telescope viewing.,63
R3\guide_19_conversation_E.txt,3,They do not have that since the cinders around it are incredibly loose. I would recommend Meteor Crater if you want to look into the inside of a large impact (although that was a huge meteor and not a volcano),you aren't allowed to do that since the cinders around it are incredibly loose. i'd suggest you visit meteor crater instead where you can look the inside of a large impact (although that was a meteor and not a volcano),63
R3\guide_3_conversation_A.txt,2,We don't have any zoos in northern Arizona. The closest you'll find is Bearizona in Williams 30 minutes west of Flagstaff which is a drive through wildlife park.,we don't have any zoos in northern arizona. the closest you'll find is bearizona a drive through wildlife park in williams 30 minutes west of flagstaff.,63
R3\guide_4_conversation_A.txt,1,Hello. This time of year the traffic isn't so bad going into the Grand Canyon. I would recommend leaving Flagstaff no later than 8am because that will ensure that you arrive before the Grand Canyon Railway visitors arrive on the train.,hello. this season the traffic isn't so bad going into the grand canyon. i'd leave flagstaff no later than 8am to ensure that you arrive early before the grand canyon railway visitors arrive .,63
R3\guide_18_conversation_E.txt,2,They have a lot - the scenic chairlift summer tubing bungee trampoline mini ropes course treasure panning barrel rolling. Very good activities for kids.,there's a lot you can do - the chairlift summer tubing bungee trampoline mini ropes course treasure panning barrel rolling. i believe those are very good activities that will entertain your kids.,62
R2\guide_15_conversation_J.txt,4,Sedona is also worth a visit. the red rocks in there are beautiful and the new age arts culture of Sedona is very unique.,well sedona also deserves a visit. i think the red rocks are very beautiful and anyone would agree that the arts culture is very unique.,61
R3\guide_I36_conversation_E.txt,4,Limited. There are a few spots on Rte 66 (on the North Side) that are free for 2 hours. Parking is $1 an hour for most streets. pay at the kiosk with credit card by entering your license plate.,actually it's limited. i guess we have a few spots on rte 66 (on the north side) that are 2 hours free. otherwise parking is $1 an hour for most streets. you pay at the kiosk with your credit card when you enter your license plate.,61
R3\guide_18_conversation_J.txt,3,Yeah you can. there are some suggested day hikes that you can do on either the Bright Angel Trail or the Hermit trail that are shown on the Hiking map that can be picked up at the Visitor Center.,yeah you can. we have some day hikes i would suggest that you can do on either the bright angel trail or the hermit trail. you can pick up the hiking map that shows you these trails at the visitor center.,60
R3\guide_I28_conversation_E.txt,4,We do - 9 of them. Grab an Ale Trail map in the visitor's center. Most are within walking distance.,we do - 9 of them. the visitor center has an ale trail map you can grab. i guess most are nearby downtown.,60
R2\guide_3_conversation_A.txt,2,Typically there is only free food during various festivals and events downtown like the monthly Art Walk. If you're in need there is the Food Bank located at 3805 E Huntington Drive on the east side of town.,we only have free food during festivals and events downtown like the art walk. if you're in need i would check the food bank at 3805 e huntington drive on the east of town.,59
R3\guide_20_conversation_A.txt,4,Okay! I would recommend the Fatman's Loop/Elden Lookout trails in that case. Beautiful views and easy to moderate.,okay! i'd suggest the fatman's loop/elden lookout trails . i think it has views you'd enjoy and i would rate the hike as easy to moderate.,59
R3\guide_I28_conversation_E.txt,3,I think Josephine's has a good menu and nice scenery. The Cottage Place and Tinderbox are two other choices for a quiet romantic dinner.,i think josephine's has a menu and view you'd enjoy. the cottage place and tinderbox are two other choices i'd suggest to have a dinner that is quiet and romantic.,59
R2\guide_10_conversation_E.txt,2,"I would say the Grand Canyon it's iconic and on many ""bucket lists"". Sedona is closer however (30 minutes vs. 1.5 hours) so if you are pressed for time I would say that the red rocks of Sedona are definitely worth seeing.","i'd say the grand canyon it's iconic and on many ""bucket lists"". sedona is the closest one however (30 minutes vs. 1.5 hours) so in case that time concerns you i believe that the red rocks are definitely worth seeing.",58
R2\guide_11_conversation_J.txt,2,The Grand Canyon Railway departs from Williams each morning around 9am. it is about a three hour ride to the Grand Canyon where you get off the train and have about 4 hours to explore the Grand Canyon on your own or you can add a bus tour to see the canyon during this time. Then you will get back on the train and arrive back in Williams at about 5:30pm.,the grand canyon railway departs from williams each morning around 9am. it's about a three hour ride to the grand canyon where you get off the train and you have 4 hours to explore the grand canyon on your own or you can take the buses to see the canyon . then you will get back and you arrive back in williams at 5:30pm.,58
R3\guide_1_conversation_A.txt,3,Okay! Some really good sandwich places I've been to are Aspen Deli and Proper Meats and Provisions downtown and there's also Crystal Creek Sandwich Company on Milton Rd.,okay! i've been to some sandwich places like aspen deli and proper meats and provisions downtown. i think those are really good. i also like crystal creek sandwich company on milton rd.,58
R2\guide_23_conversation_J.txt,2,There is one just over the rail road tracks on Phoenix ave called the Garden Thrift Store,well we have the garden thrift store just over the rail road tracks on phoenix ave,57
R2\guide_7_conversation_E.txt,4,The Starlight bookstore on Leroux sells used books15 N Leroux St Flagstaff AZ 86001. It is across the street from the visitor's center to the north. You can get a map of Flagstaff at the visitor's center to further help navigate.,the starlight bookstore on leroux sells used books15 n leroux st flagstaff az 86001. this is across the street from the visitor center to the north. i'd visit the visitor center you can get a map of flagstaff to further help you navigate.,57
R3\guide_I28_conversation_A.txt,3,The observatory is well worth a visit. They are open from 10am-10pm Monday-Saturday 10am-5pm Sunday. There are solar viewings and tours during the day and once the sun sets they begin nighttime observations.,i believe the observatory deserves a visit. they open from 10am-10pm monday-saturday 10am-5pm sunday. you can do solar viewings and tours during the day. once the sun sets nighttime observations begin.,57
R3\guide_3_conversation_E.txt,4,I would give yourself at least 2 hours at the Museum go to Lowell for two hours and then come back in the evening for stargazing and about 3 hours at Wupatki/Sunset Crater and 2 hours at Walnut Canyon.,i'd give yourself at least 2 hours at the museum then you visit the lowell for two hours and come back later when the stargazing starts and about 3 hours at wupatki/sunset crater and 2 hours at walnut canyon afterwards.,56
R3\guide_7_conversation_J.txt,1,There are many great places to visit in and around Flagstaff. for tours of Flagstaff there is historic Walking tours tomorrow and Saturday or Segway and bike tours every day There are a lot of hiking trails and some great museums for afternoon rains.,we have many places to visit in and around flagstaff. for tours of flagstaff we have the historic walking tours tomorrow and saturday or segway and bike tours every day we also have hiking trails and some museums you might go when it rains.,56
R3\guide_I36_conversation_A.txt,5,For more traditional beers Lumberyard and Mother Road would be good options.,lumberyard and mother road would have more traditional beers you'd enjoy.,56
R3\guide_I45_conversation_A.txt,1,Hello. There are two museums in the area: The Pioneer Museum is about the founding of Flagstaff and the Museum of Northern Arizona focuses on Native American and geologic history.,hello. we have two museums. the pioneer museum tells you about the founding of flagstaff and the museum of northern arizona tells you about native american history and geology.,56
R3\guide_16_conversation_E.txt,2,The train leaves from Williams AZ about half an hour from Flagstaff. The train leaves in the morning has live music and play-acting robbery on the way. It drops you off at the train depot at the Grand Canyon Village just a few short walking minutes from the Rim of the Grand Canyon. It leaves the canyon around 3:45pm,you'd leave from williams az about half an hour from flagstaff. the train leaves in the morning has live music and play-acting robbery on your way. you arrive at the train depot at the grand canyon village just a few walking minutes from the grand canyon rim. you'd leave the canyon around 3:45pm,55
R3\guide_8_conversation_E.txt,4,I am not able to find this exact information. We do receive visitors year round for winter/ spring/ summer/ and autumn activities.,i'm not able to find this number. we do receive visitors year round for all seasons fun.,55
R3\guide_I29_conversation_A.txt,3,Okay. For local restaurants a couple of good options would be Beaver Street Brewery Charly's Pub and Grill and Big Foot BBQ.,okay. i would suggest beaver street charly's pub and grill and big foot bbq.,55
R2\guide_16_conversation_J.txt,5,Charley Pub and grill does Southwestern and American food they have a Navajo Taco that is local to the area Martannes Cafe is another local southwestern restaurant that is a local favorite or Diablo Burger which serves local grass fed beef.,alright charley pub and grill does southwestern and american food but it also has a navajo taco that's local martannes cafe is another southwestern restaurant that's our local favorite or diablo burger which offers you grass fed beef.,54
R3\guide_23_conversation_A.txt,1,Hello. I would recommend going in to talk to the bakers at Macy's European Coffee Shop downtown. They make delicious custom cakes.,hello. i'd talk to the bakers at macy's european coffee shop downtown. they make custom cakes you'll find delicious.,54
R3\guide_5_conversation_A.txt,2,There are a couple of options. Johnny Anaya is a local historian who does specialized tours for visitors.,i have options for you. johnny anaya is a historian who does tours that are specialized .,54
R3\guide_I32_conversation_E.txt,3,yes - but you will need to park on the other side of the building if you are in 15 minute parking. It's $1 an hour pay at the kiosk by the green dumpster.,certainly - but you will need to park across the building if you're in 15 minute parking. you'd pay $1 an hour pay at the kiosk by the dumpster that is green.,54
R3\guide_I37_conversation_A.txt,3,You can't walk on Sunset Crater but Lenox Crater is accessible and they have a trail to the top of that one and you can look out at Sunset Crater from it.,you can't walk on sunset crater. lenox crater offers accessibility and it has a trail that would take you to the top of that one. you can watch the sunset crater from it.,53
R3\guide_I39_conversation_J.txt,3,it is where the museum stays open late with food and drink vendors and local musicians playing in the courtyard. The band this week is the Light Meeting which are a good local duo, the museum stays open late and hosts food and drink vendors and musicians playing in the courtyard. i've heard the band this week is the light meeting which i believe are a really good local duo,53
R3\guide_I40_conversation_J.txt,2,you can see some ruins from the Visitor Center and possibly could do the one mile accessible rim trail but the island trail is 280 steps into the canyon to get close to the ruins.,you can see some ruins from the visitor center and you possibly could do the trail that is one mile and accessible but the trail that goes around the island is 280 steps into the canyon to take you close to the ruins.,53
R3\guide_18_conversation_J.txt,1,Yeah  but still well worth the trip if you go to the east rim or walk along the rim trails you can always find uncrowded places.,yeah but it's still well worth the trip you should visit the east rim or you should walk along the rim trails you can always find places that are not crowded.,52
R3\guide_7_conversation_E.txt,7,No. There is a $30 pass there at the Parking Lot. If you are considering going to any other parks I would get the America the Beautiful Pass for $80 at any National Park or Monument.,no. there's a $30 pass there at the parking lot. otherwise if you're considering visiting any other parks i'd get the america the beautiful pass. the pass costs $80 you buy it at any national park or monument.,52
R3\guide_I31_conversation_E.txt,3,There is music this evening at the Museum of Northern Arizona.,i know that the museum of northern arizona has music later this evening.,52
R2\guide_15_conversation_J.txt,6,No the museum is on Highway 180 from the Visitor Center you will take a left on Route 66 a right on Humphreys street and when Humphreys ends at highway 180 make another left then watch for the signs.,no the museum is on highway 180 from the visitor center you will take a left on route 66 then you take a right on humphreys street and when humphreys ends at highway 180 you make a left again and then you just need to follow the signs.,51
