Target Style, Filename, Line Number, Original Sentence, Modified Sentence, Feature replaced, Feature attributed
DailyDialog,R1\guide_1_conversation.txt,4,If that doesn't interest you we also have Lowell Observatory where they discovered Pluto. The observatory is open until 10pm and they have nighttime viewing of the stars and planets through their telescopes.,if that doesn't attract you we also have lowell observatory where they discovered pluto. the observatory is open late until 10pm and have nighttime viewing of the stars and planets through the telescopes.,open until,open late until
DailyDialog,R1\guide_1_conversation.txt,6,Haha absolutely. Flagstaff's downtown is very safe and if you don't have a car I'd recommend taking a taxi to the observatory since the buses don't go up there just because of how steep the hill is to get to it.,absolutely. downtown is very safe. allow me to suggest that if you don't drive i'd take a taxi to the observatory since the buses don't go up there. the hill is steep to get there.,recommend taking,take
DailyDialog,R1\guide_1_conversation.txt,2,What kinds of places do you like to go? Are you looking for nightlife or karaoke for example?,what places do you like to go? are you looking for nightlife; karaoke?,nightlife or karaoke,nightlife; karaoke
DailyDialog,R1\guide_1_conversation.txt,6,Haha absolutely. Flagstaff's downtown is very safe and if you don't have a car I'd recommend taking a taxi to the observatory since the buses don't go up there just because of how steep the hill is to get to it.,absolutely. downtown is very safe. allow me to suggest that if you don't drive i'd take a taxi to the observatory since the buses don't go up there. the hill is steep to get there.,"safe, and if",safe. if
DailyDialog,R1\guide_1_conversation.txt,9,If you want to look online our website is www.flagstaffarizona.org and you can stop in to the Flagstaff Visitor Center in the historic train station during your trip for more information!,you should look online our website is www.flagstaffarizona.org. you can visit our visitor center during your trip. meet us in the train station we can give you more details!,", and you can",. you can
DailyDialog,R1\guide_1_conversation.txt,8,If you want to stay closer one of my personal favorites is the Flagstaff Extreme Adventure course. You climb through the trees and zipline. They have 5 courses and it's a lot of fun.,to stay closer one of my favorites is the flagstaff extreme adventure. you climb through the trees and zipline. there are 5 courses. i think it's fun.,courses and,courses. 
DailyDialog,R1\guide_1_conversation.txt,7,It depends on your interests - Route 66 is always a popular one and there are Route 66 passports at the Flagstaff Visitor Center so you can get stamps all along the route in Arizona if you want to do a bit of a roadtrip.,it depends on your interests - route 66 is always popular our visitor center has route 66 passports so you get stamps all along the route in arizona to do a roadtrip.,you can get stamps,you get stamps
DailyDialog,R1\guide_1_conversation.txt,8,If you want to stay closer one of my personal favorites is the Flagstaff Extreme Adventure course. You climb through the trees and zipline. They have 5 courses and it's a lot of fun.,to stay closer one of my favorites is the flagstaff extreme adventure. you climb through the trees and zipline. there are 5 courses. i think it's fun.,it's  fun,i think it's fun
DailyDialog,R1\guide_1_conversation.txt,3,Well there are always a lot of great options in downtown Flagstaff for live music at bars like The State Bar and the Hotel Monte Vista. You can see what activities are going on at www.flaglive.com for music and events.,well we always have places you can visit that have live music. i'd suggest bars like the state bar and the hotel monte vista. you can see what music and events are happening at www.flaglive.com.,"options  for live music,",places you can visit that have live music.
DailyDialog,R1\guide_1_conversation.txt,3,Well there are always a lot of great options in downtown Flagstaff for live music at bars like The State Bar and the Hotel Monte Vista. You can see what activities are going on at www.flaglive.com for music and events.,well we always have places you can visit that have live music. i'd suggest bars like the state bar and the hotel monte vista. you can see what music and events are happening at www.flaglive.com.,at bars like,i'd suggest bars like
DailyDialog,R1\guide_1_conversation.txt,6,Haha absolutely. Flagstaff's downtown is very safe and if you don't have a car I'd recommend taking a taxi to the observatory since the buses don't go up there just because of how steep the hill is to get to it.,absolutely. downtown is very safe. allow me to suggest that if you don't drive i'd take a taxi to the observatory since the buses don't go up there. the hill is steep to get there.,if you don't drive,allow me to suggest that if you don't drive
DailyDialog,R1\guide_1_conversation.txt,9,If you want to look online our website is www.flagstaffarizona.org and you can stop in to the Flagstaff Visitor Center in the historic train station during your trip for more information!,you should look online our website is www.flagstaffarizona.org. you can visit our visitor center during your trip. meet us in the train station we can give you more details!,"in the train station during your trip,","during your trip. meet us in the train station, "
DailyDialog,R1\guide_1_conversation.txt,2,What kinds of places do you like to go? Are you looking for nightlife or karaoke for example?,what places do you like to go? are you looking for nightlife; karaoke?,  , 
DailyDialog,R1\guide_1_conversation.txt,3,Well there are always a lot of great options in downtown Flagstaff for live music at bars like The State Bar and the Hotel Monte Vista. You can see what activities are going on at www.flaglive.com for music and events.,well we always have places you can visit that have live music. i'd suggest bars like the state bar and the hotel monte vista. you can see what music and events are happening at www.flaglive.com.,  , 
DailyDialog,R1\guide_1_conversation.txt,7,It depends on your interests - Route 66 is always a popular one and there are Route 66 passports at the Flagstaff Visitor Center so you can get stamps all along the route in Arizona if you want to do a bit of a roadtrip.,it depends on your interests - route 66 is always popular our visitor center has route 66 passports so you get stamps all along the route in arizona to do a roadtrip.,  , 
DailyDialog,R1\guide_1_conversation.txt,8,If you want to stay closer one of my personal favorites is the Flagstaff Extreme Adventure course. You climb through the trees and zipline. They have 5 courses and it's a lot of fun.,to stay closer one of my favorites is the flagstaff extreme adventure. you climb through the trees and zipline. there are 5 courses. i think it's fun.,  , 
DailyDialog,R1\guide_1_conversation.txt,9,If you want to look online our website is www.flagstaffarizona.org and you can stop in to the Flagstaff Visitor Center in the historic train station during your trip for more information!,you should look online our website is www.flagstaffarizona.org. you can visit our visitor center during your trip. meet us in the train station we can give you more details!,  , 
DailyDialog,R1\guide_2_conversation.txt,5,Ok so for August there is a chance of monsoons but otherwise it is always lovely to go outdoors and hike and mountain bike.,ok so august brings a chance of monsoons otherwise you'll find always cool to go outdoors and hike and mountain bike.,there is ,there's 
DailyDialog,R1\guide_2_conversation.txt,5,Ok so for August there is a chance of monsoons but otherwise it is always lovely to go outdoors and hike and mountain bike.,ok so august brings a chance of monsoons otherwise you'll find always cool to go outdoors and hike and mountain bike.,it is ,it's 
DailyDialog,R1\guide_2_conversation.txt,8,That really depends on the weather. It's unpredictable here as we saw this past winter where we barely had any snow and so we never know what the weather is going to do. The best thing to do is check with the staff at the Grand Canyon visitor center or give them a call in the weeks leading up to the trip to see what the trail conditions are like. With little ones if you're concerned about the rim I would stay close to the main village area and Mather Point which are both much more secure.,that really depends on the weather. it's unpredictable here as we saw this past winter where we barely had any snow so we never know what the weather is going to do. i think that the best thing to do is ask their visitor center staff or you can call them in the weeks leading up to the trip to verify the trail conditions. traveling with kids if the rim concerns you i'd stay close to the main village and mather point both are much more secure.,i would,i'd
DailyDialog,R1\guide_2_conversation.txt,3,There's also the scenic chairlift at the Arizona Snowbowl that all ages can enjoy.,the arizona snowbowl also has a chairlift that all ages enjoy.,scenic chairlift,chairlift
DailyDialog,R1\guide_2_conversation.txt,2,What kinds of things do they like to do? Buffalo Park is always a great option for smaller excursions and the trails are easy for little ones.,what things do they like to do? i would suggest the buffalo park for smaller excursions little ones find the trail easy.,great option,option
DailyDialog,R1\guide_2_conversation.txt,9,"For the cultural events the Museum of Northern Arizona hosts several festivals throughout the year. If you go to their website www.musnaz.org and click on ""Programs & Events"" you'll be able to see the full list of festivals. Beyond that we do have some national monuments close to Flagstaff that are ruins - Wupatki are pueblo ruins 45 minutes north of town and Walnut Canyon is only 15 minutes east on 40 and those are cliff ruins.","to find events the museum of northern arizona hosts several festivals throughout the year. you should visit www.musnaz.org select ""programs & events"" you'll see the list of festivals. beyond that we do have some national monuments close to flagstaff that are ruins - wupatki are pueblo ruins 45 minutes north of town walnut canyon are cliff ruins only 15 minutes east on 40.",full list,list
DailyDialog,R1\guide_2_conversation.txt,8,That really depends on the weather. It's unpredictable here as we saw this past winter where we barely had any snow and so we never know what the weather is going to do. The best thing to do is check with the staff at the Grand Canyon visitor center or give them a call in the weeks leading up to the trip to see what the trail conditions are like. With little ones if you're concerned about the rim I would stay close to the main village area and Mather Point which are both much more secure.,that really depends on the weather. it's unpredictable here as we saw this past winter where we barely had any snow so we never know what the weather is going to do. i think that the best thing to do is ask their visitor center staff or you can call them in the weeks leading up to the trip to verify the trail conditions. traveling with kids if the rim concerns you i'd stay close to the main village and mather point both are much more secure.,with little ones,traveling with kids
DailyDialog,R1\guide_2_conversation.txt,4,One moment let me read through the rest.,let me read the rest.,read through,read
DailyDialog,R1\guide_2_conversation.txt,1,Hello there! My name is <Tour Guide A>. What can I help you with today?,hello there! i'm <guide1>. how can i help you today?,what can i help you with,how can I help you
DailyDialog,R1\guide_2_conversation.txt,7,Winter is actually a great time of year to go to the Canyon because it's the off-season and there will be a lot less travellers there during that time.,i believe winter is actually a great season to visit the canyon. it's the off-season and you will find less travellers visiting there.,to go to the canyon,to visit the canyon
DailyDialog,R1\guide_2_conversation.txt,9,"For the cultural events the Museum of Northern Arizona hosts several festivals throughout the year. If you go to their website www.musnaz.org and click on ""Programs & Events"" you'll be able to see the full list of festivals. Beyond that we do have some national monuments close to Flagstaff that are ruins - Wupatki are pueblo ruins 45 minutes north of town and Walnut Canyon is only 15 minutes east on 40 and those are cliff ruins.","to find events the museum of northern arizona hosts several festivals throughout the year. you should visit www.musnaz.org select ""programs & events"" you'll see the list of festivals. beyond that we do have some national monuments close to flagstaff that are ruins - wupatki are pueblo ruins 45 minutes north of town walnut canyon are cliff ruins only 15 minutes east on 40.","if you go to their website,",you should visit
DailyDialog,R1\guide_2_conversation.txt,2,What kinds of things do they like to do? Buffalo Park is always a great option for smaller excursions and the trails are easy for little ones.,what things do they like to do? i would suggest the buffalo park for smaller excursions little ones find the trail easy.,and the trails are easy for little ones,little ones find the trail easy
DailyDialog,R1\guide_2_conversation.txt,5,Ok so for August there is a chance of monsoons but otherwise it is always lovely to go outdoors and hike and mountain bike.,ok so august brings a chance of monsoons otherwise you'll find always cool to go outdoors and hike and mountain bike.,for august there's a chance,august brings a chance
DailyDialog,R1\guide_2_conversation.txt,3,There's also the scenic chairlift at the Arizona Snowbowl that all ages can enjoy.,the arizona snowbowl also has a chairlift that all ages enjoy.,there's also the chairlift at the arizona snowbowl,the arizona snowbowl also has a chairlift
DailyDialog,R1\guide_2_conversation.txt,8,That really depends on the weather. It's unpredictable here as we saw this past winter where we barely had any snow and so we never know what the weather is going to do. The best thing to do is check with the staff at the Grand Canyon visitor center or give them a call in the weeks leading up to the trip to see what the trail conditions are like. With little ones if you're concerned about the rim I would stay close to the main village area and Mather Point which are both much more secure.,that really depends on the weather. it's unpredictable here as we saw this past winter where we barely had any snow so we never know what the weather is going to do. i think that the best thing to do is ask their visitor center staff or you can call them in the weeks leading up to the trip to verify the trail conditions. traveling with kids if the rim concerns you i'd stay close to the main village and mather point both are much more secure.,check with the staff at the grand canyon visitor center,ask their visitor center staff
DailyDialog,R1\guide_2_conversation.txt,7,Winter is actually a great time of year to go to the Canyon because it's the off-season and there will be a lot less travellers there during that time.,i believe winter is actually a great season to visit the canyon. it's the off-season and you will find less travellers visiting there.,time of year,season
DailyDialog,R1\guide_2_conversation.txt,7,Winter is actually a great time of year to go to the Canyon because it's the off-season and there will be a lot less travellers there during that time.,i believe winter is actually a great season to visit the canyon. it's the off-season and you will find less travellers visiting there., during that time,
DailyDialog,R1\guide_2_conversation.txt,2,What kinds of things do they like to do? Buffalo Park is always a great option for smaller excursions and the trails are easy for little ones.,what things do they like to do? i would suggest the buffalo park for smaller excursions little ones find the trail easy.,kinds of,
DailyDialog,R1\guide_2_conversation.txt,8,That really depends on the weather. It's unpredictable here as we saw this past winter where we barely had any snow and so we never know what the weather is going to do. The best thing to do is check with the staff at the Grand Canyon visitor center or give them a call in the weeks leading up to the trip to see what the trail conditions are like. With little ones if you're concerned about the rim I would stay close to the main village area and Mather Point which are both much more secure.,that really depends on the weather. it's unpredictable here as we saw this past winter where we barely had any snow so we never know what the weather is going to do. i think that the best thing to do is ask their visitor center staff or you can call them in the weeks leading up to the trip to verify the trail conditions. traveling with kids if the rim concerns you i'd stay close to the main village and mather point both are much more secure.,see what the trail conditions are like,verify the trail conditions
DailyDialog,R1\guide_2_conversation.txt,6,Grand Canyon is open year-round except for government shut downs which we've had issues with in the past. The most they do is close the road to the desert view watchtower for wintery road conditions.,grand canyon is open year-round except for government shut downs which we've had issues with in the past. the most that do is to close the road that goes to the desert view watchtower when we have wintry road conditions.,the most they do,the most that happens
DailyDialog,R1\guide_2_conversation.txt,8,That really depends on the weather. It's unpredictable here as we saw this past winter where we barely had any snow and so we never know what the weather is going to do. The best thing to do is check with the staff at the Grand Canyon visitor center or give them a call in the weeks leading up to the trip to see what the trail conditions are like. With little ones if you're concerned about the rim I would stay close to the main village area and Mather Point which are both much more secure.,that really depends on the weather. it's unpredictable here as we saw this past winter where we barely had any snow so we never know what the weather is going to do. i think that the best thing to do is ask their visitor center staff or you can call them in the weeks leading up to the trip to verify the trail conditions. traveling with kids if the rim concerns you i'd stay close to the main village and mather point both are much more secure.,village area,village
DailyDialog,R1\guide_2_conversation.txt,9,"For the cultural events the Museum of Northern Arizona hosts several festivals throughout the year. If you go to their website www.musnaz.org and click on ""Programs & Events"" you'll be able to see the full list of festivals. Beyond that we do have some national monuments close to Flagstaff that are ruins - Wupatki are pueblo ruins 45 minutes north of town and Walnut Canyon is only 15 minutes east on 40 and those are cliff ruins.","to find events the museum of northern arizona hosts several festivals throughout the year. you should visit www.musnaz.org select ""programs & events"" you'll see the list of festivals. beyond that we do have some national monuments close to flagstaff that are ruins - wupatki are pueblo ruins 45 minutes north of town walnut canyon are cliff ruins only 15 minutes east on 40.",ll be able to,ll
DailyDialog,R1\guide_2_conversation.txt,1,Hello there! My name is <Tour Guide A>. What can I help you with today?,hello there! i'm <guide1>. how can i help you today?,tour guide a,guide1
DailyDialog,R1\guide_2_conversation.txt,7,Winter is actually a great time of year to go to the Canyon because it's the off-season and there will be a lot less travellers there during that time.,i believe winter is actually a great season to visit the canyon. it's the off-season and you will find less travellers visiting there.,a lot less,less
DailyDialog,R1\guide_2_conversation.txt,4,One moment let me read through the rest.,let me read the rest.,"one moment, ",
DailyDialog,R1\guide_2_conversation.txt,1,Hello there! My name is <Tour Guide A>. What can I help you with today?,hello there! i'm <guide1>. how can i help you today?,my name is <,i'm <
DailyDialog,R1\guide_2_conversation.txt,8,That really depends on the weather. It's unpredictable here as we saw this past winter where we barely had any snow and so we never know what the weather is going to do. The best thing to do is check with the staff at the Grand Canyon visitor center or give them a call in the weeks leading up to the trip to see what the trail conditions are like. With little ones if you're concerned about the rim I would stay close to the main village area and Mather Point which are both much more secure.,that really depends on the weather. it's unpredictable here as we saw this past winter where we barely had any snow so we never know what the weather is going to do. i think that the best thing to do is ask their visitor center staff or you can call them in the weeks leading up to the trip to verify the trail conditions. traveling with kids if the rim concerns you i'd stay close to the main village and mather point both are much more secure.,or give them a call,or you can call them
DailyDialog,R1\guide_2_conversation.txt,8,That really depends on the weather. It's unpredictable here as we saw this past winter where we barely had any snow and so we never know what the weather is going to do. The best thing to do is check with the staff at the Grand Canyon visitor center or give them a call in the weeks leading up to the trip to see what the trail conditions are like. With little ones if you're concerned about the rim I would stay close to the main village area and Mather Point which are both much more secure.,that really depends on the weather. it's unpredictable here as we saw this past winter where we barely had any snow so we never know what the weather is going to do. i think that the best thing to do is ask their visitor center staff or you can call them in the weeks leading up to the trip to verify the trail conditions. traveling with kids if the rim concerns you i'd stay close to the main village and mather point both are much more secure.,the best thing to do,i think that the best thing to do
DailyDialog,R1\guide_2_conversation.txt,6,Grand Canyon is open year-round except for government shut downs which we've had issues with in the past. The most they do is close the road to the desert view watchtower for wintery road conditions.,grand canyon is open year-round except for government shut downs which we've had issues with in the past. the most that do is to close the road that goes to the desert view watchtower when we have wintry road conditions.,happens is close,do is to close
DailyDialog,R1\guide_2_conversation.txt,6,Grand Canyon is open year-round except for government shut downs which we've had issues with in the past. The most they do is close the road to the desert view watchtower for wintery road conditions.,grand canyon is open year-round except for government shut downs which we've had issues with in the past. the most that do is to close the road that goes to the desert view watchtower when we have wintry road conditions.,road to the desert,road that goes to the desert
DailyDialog,R1\guide_2_conversation.txt,6,Grand Canyon is open year-round except for government shut downs which we've had issues with in the past. The most they do is close the road to the desert view watchtower for wintery road conditions.,grand canyon is open year-round except for government shut downs which we've had issues with in the past. the most that do is to close the road that goes to the desert view watchtower when we have wintry road conditions.,for wintery road,when we have wintry road
DailyDialog,R1\guide_2_conversation.txt,7,Winter is actually a great time of year to go to the Canyon because it's the off-season and there will be a lot less travellers there during that time.,i believe winter is actually a great season to visit the canyon. it's the off-season and you will find less travellers visiting there.,there will be less travellers there,you will find less travellers visiting there
DailyDialog,R1\guide_2_conversation.txt,9,"For the cultural events the Museum of Northern Arizona hosts several festivals throughout the year. If you go to their website www.musnaz.org and click on ""Programs & Events"" you'll be able to see the full list of festivals. Beyond that we do have some national monuments close to Flagstaff that are ruins - Wupatki are pueblo ruins 45 minutes north of town and Walnut Canyon is only 15 minutes east on 40 and those are cliff ruins.","to find events the museum of northern arizona hosts several festivals throughout the year. you should visit www.musnaz.org select ""programs & events"" you'll see the list of festivals. beyond that we do have some national monuments close to flagstaff that are ruins - wupatki are pueblo ruins 45 minutes north of town walnut canyon are cliff ruins only 15 minutes east on 40.",for the cultural events,to find events
DailyDialog,R1\guide_2_conversation.txt,5,Ok so for August there is a chance of monsoons but otherwise it is always lovely to go outdoors and hike and mountain bike.,ok so august brings a chance of monsoons otherwise you'll find always cool to go outdoors and hike and mountain bike.,it's always,you'll find always
