Yeah ^uh++++=Yeah,
provinces ^nns++++=provinces
and ^cc++++=and
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
Hong ^np++++=Hong
Kong ^np++++=Kong
and ^cc++++=and
Macao ^np+++??+=Macao,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
many ^ap++++=many
countries ^nns++++=countries
and ^cc++++=and
regions ^nns++++=regions
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
have ^vb+hv+vrb++=have
an ^at++++=an
exhibition ^nn+nom+++=exhibition
area ^nn++++=area
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
to ^in++++=to
display ^nn++++=display
their ^pp$+pp3+++=their
unique ^jj+atrb+++=unique
flowers ^nns+nom+++=flowers
and ^cc++++=and
plants ^nns++++=plants.
. ^zz++++=EXTRAWORD
Each ^ppls++++=Each
month ^nn++++=month
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
special ^jj+atrb+++=special
day ^nn++++=day
for ^in++++=for
a ^at++++=a
particular ^jj+atrb+++=particular
country ^nn++++=country
or ^cc++++=or
region ^nn++++=region,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
folk ^nns++++=folk
performances ^nns+nom+++=performances
are ^vb+ber+aux++=are
given ^vpsv++agls+xvbnx+=given.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
feel ^vb+vprv+++=feel
it ^pp3+it+++=it
a ^at++++=a
great ^jj+atrb+++=great
pity ^nn++++=pity
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
missile ^nn++++=missile
kunming ^np++++=Kunming
expo ^np++++=Expo.
. ^zz++++=EXTRAWORD
